Depth,Code,Name,isLeaf
1,0001,여성,0
2,00010001,여성 > 의류,0
3,000100010001,여성 > 의류 > 셔츠/블라우스,0
4,0001000100010001,여성 > 의류 > 셔츠/블라우스 > 셔츠,1
4,0001000100010002,여성 > 의류 > 셔츠/블라우스 > 블라우스,1
3,000100010002,여성 > 의류 > 티셔츠,0
4,0001000100020001,여성 > 의류 > 티셔츠 > 반팔티셔츠,1
4,0001000100020002,여성 > 의류 > 티셔츠 > 긴팔티셔츠,1
4,0001000100020003,여성 > 의류 > 티셔츠 > 민소매,1
4,0001000100020004,여성 > 의류 > 티셔츠 > 뷔스티에,1
4,0001000100020005,여성 > 의류 > 티셔츠 > 맨투맨,1
4,0001000100020006,여성 > 의류 > 티셔츠 > 후디,1
3,000100010003,여성 > 의류 > 원피스,0
4,0001000100030001,여성 > 의류 > 원피스 > 미니원피스,1
4,0001000100030002,여성 > 의류 > 원피스 > 하프원피스,1
4,0001000100030003,여성 > 의류 > 원피스 > 롱원피스,1
4,0001000100030004,여성 > 의류 > 원피스 > 셔츠원피스,1
4,0001000100030005,여성 > 의류 > 원피스 > 니트원피스,1
4,0001000100030006,여성 > 의류 > 원피스 > 투피스,1
3,000100010004,여성 > 의류 > 점프수트/오버롤,0
4,0001000100040001,여성 > 의류 > 점프수트/오버롤 > 점프수트,1
4,0001000100040002,여성 > 의류 > 점프수트/오버롤 > 오버롤,1
3,000100010005,여성 > 의류 > 스커트,0
4,0001000100050001,여성 > 의류 > 스커트 > 미니스커트,1
4,0001000100050002,여성 > 의류 > 스커트 > 미디스커트,1
4,0001000100050003,여성 > 의류 > 스커트 > 롱스커트,1
3,000100010006,여성 > 의류 > 팬츠,0
4,0001000100060001,여성 > 의류 > 팬츠 > 슬랙스,1
4,0001000100060002,여성 > 의류 > 팬츠 > 스키니팬츠,1
4,0001000100060003,여성 > 의류 > 팬츠 > 스트레이트팬츠,1
4,0001000100060004,여성 > 의류 > 팬츠 > 와이드팬츠,1
4,0001000100060005,여성 > 의류 > 팬츠 > 숏팬츠,1
4,0001000100060006,여성 > 의류 > 팬츠 > 레깅스,1
4,0001000100060007,여성 > 의류 > 팬츠 > 트레이닝팬츠,1
3,000100010007,여성 > 의류 > 진,0
4,0001000100070001,여성 > 의류 > 진 > 스키니진,1
4,0001000100070002,여성 > 의류 > 진 > 스트레이트진,1
4,0001000100070003,여성 > 의류 > 진 > 부츠컷/플레어진,1
4,0001000100070004,여성 > 의류 > 진 > 보이프렌드진,1
4,0001000100070005,여성 > 의류 > 진 > 숏팬츠,1
3,000100010008,여성 > 의류 > 니트,0
4,0001000100080001,여성 > 의류 > 니트 > 가디건,1
4,0001000100080002,여성 > 의류 > 니트 > 터틀넥,1
4,0001000100080003,여성 > 의류 > 니트 > 스웨터,1
4,0001000100080004,여성 > 의류 > 니트 > 원피스,1
4,0001000100080005,여성 > 의류 > 니트 > 베스트,1
3,000100010009,여성 > 의류 > 자켓,0
4,0001000100090001,여성 > 의류 > 자켓 > 블레이저,1
4,0001000100090002,여성 > 의류 > 자켓 > 가죽자켓,1
4,0001000100090003,여성 > 의류 > 자켓 > 자켓,1
3,000100010010,여성 > 의류 > 코트,0
4,0001000100100001,여성 > 의류 > 코트 > 하프코트,1
4,0001000100100002,여성 > 의류 > 코트 > 롱코트,1
4,0001000100100003,여성 > 의류 > 코트 > 트렌치코트,1
3,000100010011,여성 > 의류 > 점퍼,0
4,0001000100110001,여성 > 의류 > 점퍼 > 야상/사파리,1
4,0001000100110002,여성 > 의류 > 점퍼 > 블루종/항공점퍼,1
4,0001000100110003,여성 > 의류 > 점퍼 > 아노락/바람막이,1
3,000100010012,여성 > 의류 > 패딩,0
4,0001000100120001,여성 > 의류 > 패딩 > 숏패딩,1
4,0001000100120002,여성 > 의류 > 패딩 > 롱패딩,1
4,0001000100120003,여성 > 의류 > 패딩 > 패딩조끼,1
3,000100010013,여성 > 의류 > 베스트,0
4,0001000100130001,여성 > 의류 > 베스트 > 롱베스트,1
4,0001000100130002,여성 > 의류 > 베스트 > 후드베스트,1
4,0001000100130003,여성 > 의류 > 베스트 > 조끼/베스트,1
3,000100010014,여성 > 의류 > 로브,1
3,000100010015,여성 > 의류 > 언더웨어,0
4,0001000100150001,여성 > 의류 > 언더웨어 > 브래지어,1
4,0001000100150002,여성 > 의류 > 언더웨어 > 팬티,1
4,0001000100150003,여성 > 의류 > 언더웨어 > 세트,1
3,000100010016,여성 > 의류 > 스윔웨어,0
4,0001000100160001,여성 > 의류 > 스윔웨어 > 비키니,1
4,0001000100160002,여성 > 의류 > 스윔웨어 > 원피스,1
4,0001000100160003,여성 > 의류 > 스윔웨어 > 래쉬가드,1
4,0001000100160004,여성 > 의류 > 스윔웨어 > 비치용품,1
3,000100010017,여성 > 의류 > 트랙/짐웨어,0
4,0001000100170001,여성 > 의류 > 트랙/짐웨어 > 브라탑,1
4,0001000100170002,여성 > 의류 > 트랙/짐웨어 > 상의,1
4,0001000100170003,여성 > 의류 > 트랙/짐웨어 > 하의,1
4,0001000100170004,여성 > 의류 > 트랙/짐웨어 > 트랙자켓,1
4,0001000100170005,여성 > 의류 > 트랙/짐웨어 > 레깅스,1
3,000100010018,여성 > 의류 > 홈웨어,0
4,0001000100180001,여성 > 의류 > 홈웨어 > 원피스,1
4,0001000100180002,여성 > 의류 > 홈웨어 > 상의,1
4,0001000100180003,여성 > 의류 > 홈웨어 > 하의,1
4,0001000100180004,여성 > 의류 > 홈웨어 > 세트,1
3,000100010019,여성 > 의류 > 정장,0
4,0001000100190001,여성 > 의류 > 정장 > 상의,1
4,0001000100190002,여성 > 의류 > 정장 > 하의,1
4,0001000100190003,여성 > 의류 > 정장 > 세트,1
2,00010002,여성 > 슈즈,0
3,000100020001,여성 > 슈즈 > 플랫/로퍼,1
3,000100020002,여성 > 슈즈 > 펌프스/힐,1
3,000100020003,여성 > 슈즈 > 스니커즈,1
3,000100020004,여성 > 슈즈 > 부츠,1
3,000100020005,여성 > 슈즈 > 플리플랍/슬리퍼,1
3,000100020006,여성 > 슈즈 > 샌들,1
2,00010003,여성 > 백,0
